WELLNAME = well95
STDEP  =  3000.0000    
ENDEP  =  4137.0313    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, DEN, GR, RT, SP

#DEPTH       AC           CAL          DEN          GR           RT           SP           
3031.6250    47.6862      22.3765      0.0000       14.7762      382.3756     90.4465      
3031.7500    47.7345      22.4256      0.0000       14.4608      442.0410     90.5267      
3031.8750    47.7103      22.4426      0.0000       12.3729      547.4573     90.6663      
3032.0000    47.6377      22.4439      0.0000       14.3996      799.0574     90.7662      
3032.1250    47.5168      22.4454      0.0000       15.9196      907.8929     90.8464      
3032.2500    47.4201      22.3994      0.0000       16.0471      906.8962     90.9270      
3032.3750    47.3233      22.3854      0.0000       15.9216      1052.7593    90.9475      
3032.5000    47.2024      22.3866      0.0000       14.2768      1186.9116    91.0078      
3032.6250    47.1298      22.3875      0.0000       14.6579      1097.0596    91.0880      
3032.7500    47.0573      22.3889      0.0000       15.4184      1161.8560    91.1088      
3032.8750    47.2023      22.3905      0.0000       16.1156      1138.5258    91.1695      
3033.0000    47.4198      22.3920      0.0000       15.6735      942.1497     91.1901      
3033.1250    47.6373      22.3934      0.0000       16.4974      682.8478     91.1910      
3033.2500    47.8064      22.3949      0.0000       18.5242      531.2037     91.2517      
3033.3750    48.0239      22.3960      0.0000       17.7655      434.1375     91.2723      
3033.5000    48.1689      22.3973      0.0000       16.7538      341.7548     91.2732      
3033.6250    48.2897      22.3990      0.0000       15.4254      301.8912     91.2747      
3033.7500    48.3621      22.3530      0.0000       17.5788      324.5415     91.2758      
3033.8750    48.4104      22.2910      0.0000       19.6689      327.6019     91.2769      
3034.0000    48.3378      22.2766      0.0000       21.6955      354.1547     91.3373      
3034.1250    48.1928      22.2305      0.0000       20.6837      437.1581     91.3578      
3034.2500    48.1444      22.2161      0.0000       22.3308      541.9219     91.2998      
3034.3750    47.9510      22.1231      0.0000       20.6225      703.8633     91.2808      
3034.5000    47.7817      22.0923      0.0000       16.0023      1145.0286    91.2818      
3034.6250    47.6367      21.9992      0.0000       13.4077      1578.7842    91.2830      
3034.7500    47.5158      21.9686      0.0000       14.8648      1745.0338    91.2841      
3034.8750    47.3949      21.9225      0.0000       15.6888      1889.4517    91.2856      
3035.0000    47.3224      21.8605      0.0000       16.0065      2232.9937    91.2864      
3035.1250    47.1290      21.7989      0.0000       15.4377      2142.8215    91.2872      
3035.2500    47.0323      21.7845      0.0000       15.0589      1651.5197    91.2293      
3035.3750    47.1289      21.7381      0.0000       14.8700      1148.6313    91.2697      
3035.5000    47.4914      21.6765      0.0000       15.6940      950.9979     91.2903      
3035.6250    47.6846      21.6145      0.0000       16.5179      863.5981     91.2914      
3035.7500    47.6846      21.6003      0.0000       14.9363      949.0571     91.2925      
3035.8750    47.4912      21.6012      0.0000       15.3172      1251.8411    91.2939      
3036.0000    47.2254      21.5552      0.0000       13.8621      1682.8519    91.2946      
3036.1250    47.0079      21.5408      0.0000       14.7494      2267.2556    91.2955      
3036.2500    46.8387      21.5421      0.0000       13.7374      2751.6538    91.3561      
3036.3750    46.8145      21.5437      0.0000       12.4089      2832.2302    91.3176      
3036.5000    47.0561      21.5449      0.0000       14.9425      2219.0737    91.2991      
3036.6250    47.2493      21.5940      0.0000       13.3606      1685.6414    91.2999      
3036.7500    47.5150      21.6111      0.0000       13.1084      1327.0398    91.2414      
