WELLNAME = well120
STDEP  =  3500.0000    
ENDEP  =  4473.9688    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, P_AC, R1, RT, RXO, SONPHI, SP, VSH, VSH1

#DEPTH       AC           CAL          GR           P_AC         R1           RT           RXO          SONPHI       SP           VSH          VSH1         
3514.0000    48.8478      23.3283      21.0777      48.7627      15.4130      919.8527     527.4951     0.0000       87.1034      0.0000       0.0000       
3514.1250    48.5977      23.2937      22.5472      48.6242      15.4626      1289.7607    668.7281     0.0000       87.2025      0.0000       0.0000       
3514.2500    48.4155      23.2653      23.6123      48.5233      15.5180      2483.6582    865.6679     0.0000       87.3013      0.0000       0.0000       
3514.3750    48.3954      23.2618      24.7531      48.5122      15.6082      3857.1194    1081.5212    0.0000       87.4484      0.0000       0.0000       
3514.5000    48.4775      23.2653      25.5150      48.5577      15.6825      4923.8057    1106.8219    0.0000       87.6104      0.0000       0.0000       
3514.6250    48.5513      23.2495      25.4177      48.5985      15.7857      3055.1880    1113.8964    0.0000       87.8916      0.0000       0.0000       
3514.7500    48.6718      23.2459      27.1394      48.6652      15.8727      1844.2443    968.8999     0.0000       88.1166      0.0000       0.0000       
3514.8750    48.8004      23.2116      25.4746      48.7364      15.9410      1044.6105    740.7101     0.0000       88.3580      0.0000       0.0000       
3515.0000    48.8999      23.2018      25.6299      48.7915      15.9777      596.1985     519.1648     0.0000       88.6149      0.0000       0.0000       
3515.1250    48.9276      23.1860      23.5605      48.8069      15.9854      725.7568     535.8965     0.0000       88.9196      0.0000       0.0000       
3515.2500    48.9709      23.1834      25.5357      48.8308      15.9776      1111.6786    529.3149     0.0000       89.2636      0.0000       0.0000       
3515.3750    49.0338      23.1858      25.9690      48.8657      15.9669      1618.7712    623.8923     0.0000       89.6627      0.0000       0.0000       
3515.5000    49.1462      23.1696      25.2392      48.9279      15.9564      1888.8578    776.9852     0.0000       90.0541      0.0000       0.0000       
3515.6250    49.2397      23.1664      26.4052      48.9796      15.9548      1232.6925    835.1545     0.0000       90.4377      0.0000       0.0000       
3515.7500    49.4340      23.1887      28.2790      49.0872      15.9565      734.0792     693.4857     0.0000       90.8454      0.0000       0.0000       
3515.8750    49.6811      23.1982      29.8243      49.2240      15.9583      547.3062     582.2332     0.0000       91.2372      0.0000       0.0000       
3516.0000    49.9234      23.2015      27.2243      49.3582      15.9602      403.2848     445.1165     0.0000       91.5489      0.0000       0.0000       
3516.1250    50.4900      23.2247      26.4948      49.6718      15.9714      343.9210     347.8506     0.0000       91.8854      0.0000       0.0000       
3516.2500    50.9339      23.2336      27.6864      49.9176      15.9955      299.2090     321.4008     0.0000       92.1181      0.0000       0.0000       
3516.3750    51.0090      23.2365      28.6500      49.9591      16.0320      247.6346     298.5292     0.0000       92.3118      0.0000       0.0000       
3516.5000    50.9487      23.2393      27.8193      49.9258      16.0525      226.6061     287.4513     0.0000       92.5771      0.0000       0.0000       
