WELLNAME = well77
STDEP  =  3300.0000    
ENDEP  =  3942.0375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CGR, GR, K, PE, R1, RM, RT, RXO, SGR, SONPHI, SP, TH, TM, U, VSH1

#DEPTH       AC           CAL          CGR          GR           K            PE           R1           RM           RT           RXO          SGR          SONPHI       SP           TH           TM           U            VSH1         
3314.1250    49.8801      21.7134      0.0000       46.2603      0.0000       0.0000       32.1550      0.0000       3402.1748    727.5373     0.0000       0.0000       -27.1627     0.0000       0.0000       0.0000       0.0000       
3314.2500    50.2838      21.6389      0.0000       48.5077      0.0000       0.0000       32.0168      0.0000       3863.7854    722.1459     0.0000       0.0000       -23.9904     0.0000       0.0000       0.0000       0.0000       
3314.3750    50.6106      21.6146      0.0000       50.6794      0.0000       0.0000       32.0931      0.0000       5353.6455    735.0591     0.0000       0.0000       -21.5439     0.0000       0.0000       0.0000       0.0000       
3314.5000    50.9759      21.6158      0.0000       52.0432      0.0000       0.0000       32.1440      0.0000       7508.3794    744.7225     0.0000       0.0000       -19.1290     0.0000       0.0000       0.0000       0.0000       
3314.6250    50.9950      21.6167      0.0000       53.2809      0.0000       0.0000       32.2329      0.0000       8739.9844    763.7102     0.0000       0.0000       -16.7140     0.0000       0.0000       0.0000       0.0000       
3314.7500    50.4178      21.6176      0.0000       54.1903      0.0000       0.0000       32.2587      0.0000       9522.3477    789.7767     0.0000       0.0000       -14.2833     0.0000       0.0000       0.0000       0.0000       
3314.8750    49.9561      21.6186      0.0000       52.6765      0.0000       0.0000       32.1834      0.0000       9320.5674    805.3955     0.0000       0.0000       -12.1682     0.0000       0.0000       0.0000       0.0000       
3315.0000    49.6290      21.6193      0.0000       50.8850      0.0000       0.0000       32.0326      0.0000       9191.3164    701.0095     0.0000       0.0000       -10.5581     0.0000       0.0000       0.0000       0.0000       
3315.1250    49.4942      21.5950      0.0000       52.5012      0.0000       0.0000       31.8942      0.0000       9063.8818    633.3223     0.0000       0.0000       -9.2476      0.0000       0.0000       0.0000       0.0000       
3315.2500    49.5325      21.5960      0.0000       53.8650      0.0000       0.0000       31.7433      0.0000       9055.5215    628.6304     0.0000       0.0000       -8.3158      0.0000       0.0000       0.0000       0.0000       
3315.3750    49.6285      21.5969      0.0000       52.8309      0.0000       0.0000       31.8826      0.0000       9260.4102    663.5497     0.0000       0.0000       -7.8414      0.0000       0.0000       0.0000       0.0000       
3315.5000    49.8207      21.5978      0.0000       51.5695      0.0000       0.0000       31.9967      0.0000       9461.1211    674.1556     0.0000       0.0000       -7.6668      0.0000       0.0000       0.0000       0.0000       
3315.6250    50.0898      21.5988      0.0000       53.7662      0.0000       0.0000       31.9468      0.0000       9612.2813    621.0967     0.0000       0.0000       -7.6974      0.0000       0.0000       0.0000       0.0000       
3315.7500    50.3397      21.5997      0.0000       55.4581      0.0000       0.0000       31.8968      0.0000       9711.4199    575.9583     0.0000       0.0000       -7.8384      0.0000       0.0000       0.0000       0.0000       
3315.8750    50.2241      21.6005      0.0000       56.7209      0.0000       0.0000       32.0488      0.0000       9747.7949    536.5948     0.0000       0.0000       -8.0424      0.0000       0.0000       0.0000       0.0000       
3316.0000    49.9932      21.6015      0.0000       56.3935      0.0000       0.0000       32.2387      0.0000       9693.5713    490.2343     0.0000       0.0000       -8.3096      0.0000       0.0000       0.0000       0.0000       
3316.1250    49.8200      21.6027      0.0000       53.8196      0.0000       0.0000       32.3906      0.0000       9612.7354    506.4943     0.0000       0.0000       -8.6556      0.0000       0.0000       0.0000       0.0000       
3316.2500    49.6275      21.6284      0.0000       52.5331      0.0000       0.0000       32.3911      0.0000       9505.9785    565.8943     0.0000       0.0000       -9.0805      0.0000       0.0000       0.0000       0.0000       
3316.3750    49.8966      21.6545      0.0000       51.6251      0.0000       0.0000       32.2277      0.0000       9391.6387    636.9911     0.0000       0.0000       -9.4896      0.0000       0.0000       0.0000       0.0000       
3316.5000    50.3579      21.6303      0.0000       49.1523      0.0000       0.0000       32.0893      0.0000       9261.4063    717.6878     0.0000       0.0000       -9.9146      0.0000       0.0000       0.0000       0.0000       
3316.6250    50.7039      21.6313      0.0000       46.9067      0.0000       0.0000       31.9510      0.0000       9098.9951    676.7866     0.0000       0.0000       -10.3395     0.0000       0.0000       0.0000       0.0000       
3316.7500    50.7422      21.6321      0.0000       46.2259      0.0000       0.0000       31.9263      0.0000       8815.3789    643.5889     0.0000       0.0000       -10.7486     0.0000       0.0000       0.0000       0.0000       
3316.8750    50.5690      21.6080      0.0000       44.8385      0.0000       0.0000       31.9394      0.0000       8312.9277    674.9221     0.0000       0.0000       -11.1892     0.0000       0.0000       0.0000       0.0000       
3317.0000    50.4342      21.5838      0.0000       43.1734      0.0000       0.0000       31.9778      0.0000       7737.5239    700.5632     0.0000       0.0000       -11.6298     0.0000       0.0000       0.0000       0.0000       
3317.1250    50.4725      21.5344      0.0000       45.0672      0.0000       0.0000       32.0667      0.0000       7371.6777    666.1996     0.0000       0.0000       -12.0390     0.0000       0.0000       0.0000       0.0000       
3317.2500    50.6454      21.5354      0.0000       48.0967      0.0000       0.0000       32.1555      0.0000       7115.3413    664.9719     0.0000       0.0000       -12.4166     0.0000       0.0000       0.0000       0.0000       
3317.3750    50.7799      21.5112      0.0000       50.3438      0.0000       0.0000       32.2192      0.0000       6785.2539    745.7294     0.0000       0.0000       -12.8414     0.0000       0.0000       0.0000       0.0000       
3317.5000    50.6643      21.4870      0.0000       50.0165      0.0000       0.0000       32.0935      0.0000       7202.2251    823.9199     0.0000       0.0000       -13.2031     0.0000       0.0000       0.0000       0.0000       
