WELLNAME = well68
STDEP  =  3000.0000    
ENDEP  =  4946.0000    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, R1, RT, RXO, SONPHI, SP, VSH

#DEPTH       AC           CAL          GR           R1           RT           RXO          SONPHI       SP           VSH          
3016.8750    47.7831      22.4911      17.5913      29.3444      9411.6484    -99999.0000  0.0075       137.9154     0.0542       
3017.0000    47.9300      22.4569      19.6003      29.5089      9104.5586    -99999.0000  0.0089       137.9764     0.0686       
3017.1250    48.0573      22.4156      18.0721      29.6097      7014.8145    -99999.0000  0.0101       138.0372     0.0577       
3017.2500    48.1560      22.4134      17.1293      29.6083      5132.7998    -99999.0000  0.0110       138.0657     0.0509       
3017.3750    48.2059      22.3978      19.6470      29.5818      3895.3074    -99999.0000  0.0115       138.0626     0.0689       
3017.5000    48.2949      22.3442      20.7653      29.5040      3428.5078    -99999.0000  0.0124       138.0919     0.0769       
3017.6250    48.3739      22.2841      20.3567      29.4645      2754.2534    -99999.0000  0.0131       138.0887     0.0740       
3017.7500    48.5015      22.2240      21.3987      29.4124      2285.1299    -99999.0000  0.0143       138.1496     0.0814       
3017.8750    48.7065      22.2213      22.3134      29.3601      2009.0537    -99999.0000  0.0162       138.1778     0.0880       
3018.0000    48.8047      22.2185      22.0829      29.3973      1743.6604    -99999.0000  0.0171       138.2391     0.0863       
3018.1250    48.8936      22.2159      21.6999      29.5997      1597.9738    -99999.0000  0.0180       138.2671     0.0836       
3018.2500    48.9436      22.2066      24.4212      29.7517      1535.9626    -99999.0000  0.0184       138.2646     0.1030       
3018.3750    48.9551      22.1850      27.6006      29.9034      1482.1292    -99999.0000  0.0185       138.1977     0.1257       
3018.5000    48.8795      22.1949      26.0469      29.9659      1380.8853    -99999.0000  0.0178       138.1311     0.1146       
3018.6250    48.7652      22.2429      23.5010      29.9902      1243.9291    -99999.0000  0.0168       138.0642     0.0964       
3018.7500    48.6607      22.3037      23.3978      29.9634      1075.6649    -99999.0000  0.0158       138.0293     0.0957       
3018.8750    48.5851      22.4091      24.8723      29.9110      932.8853     -99999.0000  0.0151       137.9307     0.1062       
3019.0000    48.5190      22.5589      24.7183      29.8718      828.5059     -99999.0000  0.0145       137.8959     0.1051       
3019.1250    48.4435      22.7788      21.6125      29.7557      759.5890     -99999.0000  0.0137       137.8289     0.0829       
