WELLNAME = well118
STDEP  =  3000.0000    
ENDEP  =  4458.8371    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNC, CNL, DEN, GR, RT, SP

#DEPTH       AC           CAL          CNC          CNL          DEN          GR           RT           SP           
3012.3750    51.5494      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.9828      672.5649     -99999.0000  
3012.5000    52.2343      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.2982      692.6782     -99999.0000  
3012.6250    52.8807      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.9080      783.0983     -99999.0000  
3012.7500    53.4306      -99999.0000  -99999.0000  -99999.0000  -99999.0000  13.2037      712.7147     -99999.0000  
3012.8750    53.0736      -99999.0000  -99999.0000  -99999.0000  -99999.0000  13.4578      541.5133     -99999.0000  
3013.0000    52.6394      -99999.0000  -99999.0000  -99999.0000  -99999.0000  13.5092      417.6212     -99999.0000  
3013.1250    52.5043      -99999.0000  -99999.0000  -99999.0000  -99999.0000  12.1140      454.0414     -99999.0000  
3013.2500    52.5911      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.3381      417.5900     -99999.0000  
3013.3750    52.2823      -99999.0000  -99999.0000  -99999.0000  -99999.0000  9.4249       326.3265     -99999.0000  
3013.5000    52.7454      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.1110      364.0994     -99999.0000  
3013.6250    53.4014      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.8986      409.1734     -99999.0000  
3013.7500    52.6874      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.9658      426.5035     -99999.0000  
3013.8750    52.3207      -99999.0000  -99999.0000  -99999.0000  -99999.0000  12.2200      400.0027     -99999.0000  
3014.0000    53.2372      -99999.0000  -99999.0000  -99999.0000  -99999.0000  12.6521      481.7763     -99999.0000  
3014.1250    54.0187      -99999.0000  -99999.0000  -99999.0000  -99999.0000  12.6272      517.9669     -99999.0000  
3014.2500    53.9318      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.4605      489.7997     -99999.0000  
3014.3750    52.9284      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.9034      595.9095     -99999.0000  
3014.5000    52.0504      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.8276      765.2754     -99999.0000  
3014.6250    51.5776      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.6505      956.8614     -99999.0000  
3014.7500    51.1241      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.4227      1211.1079    -99999.0000  
3014.8750    51.4039      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.1190      1558.3544    -99999.0000  
3015.0000    51.4907      -99999.0000  -99999.0000  -99999.0000  -99999.0000  9.7139       2070.2356    -99999.0000  
3015.1250    51.2301      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.1459      3462.2009    -99999.0000  
3015.2500    50.8152      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.7303      1338.9852    -99999.0000  
3015.3750    50.3231      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.3403      201.5564     -99999.0000  
3015.5000    51.9922      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.8995      132.4704     -99999.0000  
3015.6250    53.6613      -99999.0000  -99999.0000  -99999.0000  -99999.0000  12.0521      101.3397     -99999.0000  
3015.7500    54.2594      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.9260      84.3280      -99999.0000  
3015.8750    53.7095      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.7492      71.6365      -99999.0000  
3016.0000    52.9858      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.6229      62.5543      -99999.0000  
3016.1250    52.7253      -99999.0000  -99999.0000  -99999.0000  -99999.0000  12.2328      78.2816      -99999.0000  
