WELLNAME = well98
STDEP  =  2800.0000    
ENDEP  =  3837.9984    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, RT, SP

#DEPTH       AC           CAL          GR           RT           SP           
2841.3750    48.7645      22.6544      23.0101      399.6205     142.4058     
2841.5000    48.9650      22.6530      23.8918      364.5685     142.4508     
2841.6250    49.1259      22.6349      24.3544      342.6652     142.3933     
2841.7500    49.5786      22.4813      23.8228      298.2971     142.3668     
2841.8750    50.0516      22.4047      23.3421      271.0322     142.3649     
2842.0000    50.1776      22.3279      22.5334      287.1173     142.3397     
2842.1250    50.0434      22.3017      22.5825      274.2307     142.3063     
2842.2500    49.8900      22.3007      22.9091      252.0395     142.2971     
2842.3750    49.7462      22.2743      22.8825      231.8272     142.2719     
2842.5000    49.6506      22.2987      22.6035      243.1427     142.2386     
2842.6250    49.5646      22.3228      23.4095      281.9908     142.2054     
2842.7500    49.5365      22.3469      22.8783      350.2925     142.1724     
2842.8750    49.5083      22.3207      22.0444      421.6996     142.1629     
2843.0000    49.3838      22.3197      22.6485      507.8720     142.1377     
2843.1250    49.2111      22.3441      23.6563      605.7670     142.0573     
2843.2500    49.0480      22.3430      23.6549      478.7135     142.0322     
2843.3750    48.8657      22.3671      23.7040      410.5142     141.9833     
2843.5000    48.7604      22.3661      24.8631      459.0842     141.9422     
2843.6250    48.8093      22.3651      25.6439      449.8165     141.8855     
2843.7500    49.0414      22.3891      25.8443      391.9575     141.7500     
2843.8750    49.4276      22.3882      25.6664      334.2310     141.5198     
2844.0000    49.8234      22.3621      25.7407      267.3560     141.2422     
2844.1250    50.3445      22.3610      26.6728      194.5674     140.9568     
2844.2500    50.6440      22.3600      26.8732      147.6969     140.6951     
2844.3750    50.6255      22.3843      26.6447      130.4350     140.3937     
2844.5000    50.4335      22.3580      26.2398      139.0905     140.1951     
2844.6250    50.1741      22.3318      26.5916      161.9752     140.0122     
2844.7500    49.8954      22.3052      27.1706      192.0154     139.8687     
2844.8750    49.6071      22.3041      27.8504      227.6389     139.8121     
2845.0000    49.3284      22.2782      28.5807      267.0919     139.7078     
2845.1250    49.2135      22.2772      29.2858      311.9382     139.6508     
2845.2500    49.3877      22.2508      29.9152      330.3776     139.5943     
2845.3750    49.7835      22.1994      30.5951      276.3198     139.5771     
2845.5000    50.4105      22.1732      30.8209      234.6880     139.5755     
2845.6250    51.2110      22.1217      30.6429      203.1996     139.5500     
2845.7500    51.8862      22.0953      31.6255      165.4155     139.4697     
2845.8750    52.3880      22.0943      31.4476      130.5992     139.4446     
2846.0000    52.6007      22.0680      30.9669      107.0428     139.4194     
2846.1250    52.5436      22.0671      30.3852      92.3916      139.3862     
2846.2500    52.3516      22.0660      29.6268      82.6901      139.3768     
2846.3750    52.0344      22.0651      28.7171      82.8241      139.3988     
2846.5000    51.8232      22.0641      27.7317      89.3103      139.4285     
2846.6250    51.8336      22.0880      26.5446      96.1283      139.4351     
2846.7500    51.8150      22.1122      25.1554      104.0505     139.4332     
2846.8750    51.6328      22.1365      24.3719      112.2496     139.4319     
2847.0000    51.3348      22.1608      24.7742      120.8186     139.4301     
2847.1250    51.0079      22.1850      25.1009      124.7561     139.4286     
2847.2500    50.4884      22.2093      24.8219      121.4186     139.4273     
2847.3750    49.7955      22.2335      24.3663      128.6401     139.4256     
2847.5000    50.5188      22.2324      24.0370      132.8503     139.4478     
2847.6250    51.6757      22.2567      24.6412      121.2509     139.4778     
2847.7500    52.7265      22.2556      25.9771      111.9644     139.5311     
2847.8750    53.0162      22.3049      24.3357      101.5312     139.5688     
2848.0000    53.1518      22.3040      22.5427      92.2003      139.6223     
2848.1250    53.4223      22.3028      21.8601      85.2537      139.6605     
2848.2500    53.2689      22.3271      22.5147      79.3389      139.6906     
2848.3750    52.6242      22.3260      22.0339      75.2708      139.7441     
2848.5000    51.6616      22.3503      20.5691      71.9746      139.7583     
2848.6250    50.5255      22.4251      20.1639      74.6187      139.8278     
2848.7500    49.3992      22.4241      19.1532      115.0282     139.8736     
2848.8750    48.8412      22.4231      19.9846      212.6577     139.8798     
2849.0000    49.1695      22.4724      20.6896      407.0664     139.8780     
2849.1250    49.4689      22.4462      21.1424      513.3076     139.8764     
2849.2500    49.7587      22.4451      21.5700      422.2450     139.8752     
2849.3750    50.0098      22.4441      21.8715      326.1629     139.9209     
2849.5000    50.0491      22.4178      21.9458      246.9749     139.9351     
2849.6250    49.8765      22.4168      21.2883      198.4223     139.9336     
2849.7500    49.9447      22.4158      22.5486      161.8744     139.9320     
2849.8750    50.2633      22.3895      21.9416      163.7375     139.9538     
2850.0000    50.6301      22.3885      21.0571      164.4040     139.9600     
2850.1250    51.1125      22.3874      19.8445      133.5000     139.9586     
2850.2500    50.8628      22.3613      19.1869      113.1199     139.9806     
2850.3750    50.3915      22.3349      19.5389      121.1452     139.9870     
2850.5000    49.9588      22.3337      18.6291      143.7105     139.9617     
2850.6250    49.5069      22.3077      19.1827      174.9154     139.9524     
2850.7500    49.1801      22.3068      20.2412      237.1674     139.9508     
2850.8750    48.9882      22.2804      20.5931      311.3101     139.9493     
2851.0000    48.9601      22.2289      19.7337      424.3284     139.9478     
2851.1250    48.9513      22.2024      18.6221      696.5470     139.9935     
