WELLNAME = well123
STDEP  =  3500.0000    
ENDEP  =  4513.9375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNL, GR, RT

#DEPTH       AC           CAL          CNL          GR           RT           
3525.7500    46.6340      21.9878      0.9229       20.8887      5277.0547    
3525.8750    46.4859      21.9921      0.8908       22.0352      6759.3403    
3526.0000    46.4831      21.9965      0.9492       22.7064      6074.1851    
3526.1250    46.5764      22.0006      0.9783       20.3357      5853.8232    
3526.2500    46.6231      22.0040      1.0373       25.4752      5536.9839    
3526.3750    46.7164      21.9749      1.0659       22.7231      2577.5803    
3526.5000    46.8102      21.9475      1.0637       19.0222      1500.9949    
3526.6250    46.8564      21.9202      1.0625       17.7917      1113.9800    
3526.7500    46.9502      21.8928      1.0304       21.1251      933.3758     
3526.8750    46.8512      21.8962      0.9678       23.6018      969.2044     
3527.0000    46.5584      21.8986      0.9053       23.7020      1224.1982    
3527.1250    46.3628      21.9020      0.8734       23.1380      1681.7092    
3527.2500    46.2635      21.9371      0.8714       23.0482      4738.2754    
3527.3750    46.2605      21.9723      0.9304       22.4836      6448.6880    
3527.5000    46.2584      21.9767      0.9891       24.7708      5254.2817    
3527.6250    46.2071      21.9810      1.0181       26.9629      5159.2026    
3527.7500    46.2041      22.0161      1.0767       24.4966      5534.6895    
3527.8750    46.1539      22.0509      1.0754       24.2172      5043.3569    
3528.0000    46.1994      22.0547      1.0737       23.8433      4206.1860    
3528.1250    46.1964      22.0583      1.0413       23.9441      4246.9814    
3528.2500    46.1940      22.0628      1.0096       26.1356      4131.1050    
3528.3750    46.2393      22.0665      0.9167       26.8062      3182.5898    
3528.5000    46.2843      22.0384      0.7931       26.5274      2927.3364    
3528.6250    46.3310      22.0103      0.7004       24.7266      2510.5125    
3528.7500    46.5214      21.9824      0.7292       28.5346      1575.2191    
3528.8750    46.9044      21.9229      0.8487       30.3464      1191.0594    
3529.0000    47.0954      21.8937      0.9080       27.4060      1065.2920    
3529.1250    47.0927      21.8660      0.9971       25.5095      1191.9039    
3529.2500    46.8488      21.8067      1.0257       26.5609      1592.1882    
3529.3750    46.6043      21.7475      1.0238       26.7568      2087.5898    
3529.5000    46.6019      21.7197      0.9920       23.8159      2030.6968    
3529.6250    46.5989      21.7237      0.9286       24.9629      1733.4932    
3529.7500    46.5479      21.7269      0.9275       23.8268      1535.9946    
3529.8750    46.4486      21.7940      0.8645       26.0189      1565.4784    
3530.0000    46.3007      21.8611      0.8632       25.1692      1703.2034    
3530.1250    46.2505      21.8960      0.8314       26.4106      2243.6040    
3530.2500    46.1512      21.9318      0.8288       23.6598      3528.7800    
3530.3750    46.2448      21.9352      0.8582       21.6689      3230.5264    
3530.5000    46.4838      21.9397      0.8867       23.2906      2454.1570    
3530.6250    46.7708      21.9435      0.9154       26.8134      2114.5291    
3530.7500    46.9129      21.9463      0.9746       27.4851      1972.3333    
3530.8750    46.8622      21.9816      1.0331       25.4942      1900.7623    
3531.0000    46.7626      22.0168      1.1225       24.4538      2313.1367    
3531.1250    46.6145      22.0521      1.1816       26.7408      2749.6907    
3531.2500    46.6126      22.0871      1.2405       27.9823      3473.2417    
3531.3750    46.5130      22.0905      1.2998       26.2771      3194.7700    
3531.5000    46.5108      22.0946      1.3588       28.4691      2752.5422    
3531.6250    46.4579      22.0988      1.3263       26.1942      1967.9843    
3531.7500    46.4568      22.0712      1.2634       27.7196      1633.5139    
