WELLNAME = well52
STDEP  =  3835.0000    
ENDEP  =  4631.8750    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNL, DEN, GR, RT, SP

#DEPTH       AC           CAL          CNL          DEN          GR           RT           SP           
3866.1250    49.7035      7.6370       1.6227       2.6903       33.5590      2550.6748    212.0013     
3866.2500    49.4609      7.6370       1.7319       2.6946       35.5994      2743.5361    211.9858     
3866.3750    49.7035      7.6659       1.7918       2.7118       36.7474      2107.9670    211.9861     
3866.5000    49.9461      7.6911       1.8281       2.7161       35.0269      1514.2395    211.9547     
3866.6250    49.8652      7.6839       1.8031       2.7097       33.8164      1684.4600    211.9233     
3866.7500    49.6227      7.6911       1.5368       2.7032       32.6696      1480.6538    211.9077     
3866.8750    49.8652      7.6803       1.4175       2.7194       33.6264      1539.9238    211.8922     
3867.0000    49.7844      7.6803       1.3519       2.7151       32.5433      1771.6448    211.8768     
3867.1250    49.7844      7.6442       1.3530       2.7194       31.6515      2229.5286    211.8612     
3867.2500    49.7844      7.6659       1.3946       2.7065       29.7396      1771.6448    211.8457     
3867.3750    49.6227      7.7200       1.4546       2.7161       28.8480      1647.1008    211.8460     
3867.5000    49.7035      7.7560       1.4765       2.7140       29.3584      1684.4600    211.8623     
3867.6250    49.7035      7.7308       1.4786       2.7108       29.8689      1822.0146    211.8626     
3867.7500    49.3801      7.6947       1.5533       2.7032       27.7022      1703.4534    211.8630     
3867.8750    49.1375      7.6983       1.7121       2.6806       25.5993      1863.3391    211.8633     
3868.0000    49.0566      7.7308       1.8721       2.7000       24.6437      2015.5010    211.8318     
3868.1250    49.0566      7.7055       2.0695       2.7172       25.7917      2254.6741    211.7845     
3868.2500    48.8949      7.6947       2.3582       2.7140       27.0036      2344.9282    211.7372     
3868.3750    49.2183      7.6803       2.5844       2.6968       28.7253      1959.7810    211.6741     
3868.5000    50.9164      7.6839       2.7817       2.6946       29.8094      613.9729     211.5950     
3868.6250    52.4528      7.6442       2.9664       2.7032       32.1049      119.4289     211.5001     
3868.7500    52.6146      7.6262       3.1596       2.6989       33.5716      92.7966      211.4210     
3868.8750    52.6146      7.6514       3.0746       2.7021       30.5125      92.2777      211.3419     
3869.0000    52.1294      7.6550       2.5759       2.7118       28.5368      95.9716      211.2312     
3869.1250    50.3504      7.6911       2.2632       2.7280       25.4139      122.1377     211.1045     
3869.2500    49.0566      7.6947       1.8724       2.7495       24.8410      1040.0278    210.9619     
3869.3750    49.6227      7.6695       1.6937       2.7484       25.6703      1566.0454    210.8034     
3869.5000    49.5418      7.6875       1.6212       2.7419       26.2445      940.1863     210.6609     
3869.6250    49.6227      7.7200       1.7357       2.7323       26.2451      956.1350     210.5024     
3869.7500    49.7035      7.7416       1.7233       2.7258       24.7158      966.9177     210.2804     
3869.8750    49.5418      7.7380       1.6754       2.7118       23.7602      924.5037     210.0108     
3870.0000    49.4609      7.7091       1.6275       2.7097       24.4620      1093.8577    209.7412     
3870.1250    49.3801      7.6947       1.7008       2.7172       25.5463      1118.6665    209.5351     
3870.2500    49.7035      7.6947       1.8591       2.7086       25.2282      1169.9888    209.3289     
3870.3750    50.0270      7.6947       2.0381       2.7151       23.7627      706.3601     209.0752     
3870.5000    50.3504      7.6875       2.1864       2.7280       23.1257      416.9939     208.8215     
3870.6250    50.2695      7.6911       2.3347       2.7280       21.8515      428.8501     208.5677     
3870.7500    50.2695      7.6947       2.4557       2.7312       20.8321      453.5820     208.3298     
3870.8750    49.9461      7.6767       2.3587       2.7312       20.2590      441.0430     208.0920     
3871.0000    49.2183      7.6767       2.3487       2.7344       19.9409      631.4294     207.8701     
3871.1250    49.4609      7.6767       2.2848       2.7527       20.0690      1112.4124    207.6957     
3871.2500    50.2695      7.6587       2.3166       2.7151       19.1134      686.8323     207.5213     
3871.3750    50.9164      7.6370       2.4722       2.7194       16.8830      273.8413     207.3153     
3871.5000    50.9973      7.6587       2.4733       2.7151       17.5848      280.0530     207.1568     
3871.6250    50.8356      7.6839       2.3774       2.7215       18.4778      292.9009     207.0142     
3871.7500    50.9973      7.6731       2.2352       2.7269       19.3708      288.0154     206.8399     
3871.8750    51.4825      7.6478       2.2363       2.7430       18.1603      283.2107     206.6973     
3872.0000    50.1887      7.6695       2.1914       2.7387       18.1607      524.7681     206.5865     
3872.1250    50.4313      7.6659       1.9723       2.7323       18.2251      493.3796     206.4916     
3872.2500    50.1887      7.6623       1.5797       2.7484       17.7157      493.3796     206.4126     
3872.3750    50.1078      7.6767       1.2927       2.7355       16.6964      587.0410     206.3493     
3872.5000    49.9461      7.7055       1.5881       2.6935       15.8684      1488.9819    206.3179     
3872.6250    51.1590      7.6911       1.8840       2.6989       16.6341      2318.7786    206.3182     
3872.7500    53.4232      7.6550       2.0624       2.7054       17.8458      1811.8250    206.3663     
3872.8750    53.9892      7.6442       2.2073       2.7021       18.8662      1081.6582    206.4619     
3873.0000    53.9892      7.6514       2.4292       2.6839       20.2695      267.7683     206.5576     
3873.1250    53.9892      7.6478       2.8153       2.6989       20.5885      75.4111      206.6215     
3873.2500    53.2615      7.6406       3.1539       2.7021       21.4815      65.5478      206.6694     
3873.3750    52.7763      7.6478       3.5379       2.6806       21.9921      65.1814      206.7333     
3873.5000    52.1294      7.6875       3.0116       2.6860       22.5027      67.0345      206.7972     
3873.6250    50.3504      7.6839       2.1522       2.6925       22.5670      88.7262      206.8452     
3873.7500    47.2776      7.6478       1.9348       2.7000       23.8425      352.4336     206.8932     
3873.8750    48.4906      7.6587       2.0442       2.6914       24.3531      1431.6697    206.9571     
3874.0000    48.4906      7.6659       2.1733       2.6849       22.3140      1137.6433    207.0051     
3874.1250    48.5714      7.6262       2.2399       2.7011       21.4856      909.0833     207.0530     
3874.2500    48.8949      7.6587       2.1429       2.7376       20.4663      924.5037     207.1169     
3874.3750    49.2183      7.6659       2.2306       2.7462       21.6143      988.8481     207.1808     
3874.5000    48.8949      7.6767       2.2595       2.7237       22.3161      1093.8577    207.2288     
3874.6250    48.8140      7.6839       2.2524       2.7108       21.9980      1000.0000    207.2609     
3874.7500    48.6523      7.7055       2.1554       2.6957       23.4649      1210.0176    207.3089     
3874.8750    48.4906      7.6767       2.0795       2.7032       23.5929      1163.4473    207.3410     
