WELLNAME = well116
STDEP  =  3500.0000    
ENDEP  =  5129.9375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNL, DEN, GR, R1, RT, SP

#DEPTH       AC           CAL          CNL          DEN          GR           R1           RT           SP           
3518.1250    50.9628      24.2913      -99999.0000  -99999.0000  35.2310      36.1589      1484.8481    114.5878     
3518.2500    51.0396      24.2916      -99999.0000  -99999.0000  34.6982      36.1590      1568.8750    114.8420     
3518.3750    51.1454      24.3110      -99999.0000  -99999.0000  30.3570      36.1973      1744.8931    114.9218     
3518.5000    51.2223      24.3367      -99999.0000  -99999.0000  31.3221      36.0197      1921.9381    114.7396     
3518.6250    51.2895      24.3434      -99999.0000  -99999.0000  31.0432      36.2166      2122.0986    114.2243     
3518.7500    51.3373      24.3628      -99999.0000  -99999.0000  32.9730      36.3691      2341.8872    113.5979     
3518.8750    51.3756      24.3695      -99999.0000  -99999.0000  31.7039      36.1217      2467.2979    113.1063     
3519.0000    51.3945      24.3698      -99999.0000  -99999.0000  29.7778      36.1916      2327.2417    112.6386     
3519.1250    51.3941      24.3892      -99999.0000  -99999.0000  30.3081      35.8871      2586.3381    112.0677     
3519.2500    51.3937      24.4150      -99999.0000  -99999.0000  32.6950      35.8809      3095.4482    111.5127     
3519.3750    51.4029      24.4217      -99999.0000  -99999.0000  35.1580      36.1540      3993.4709    110.9974     
3519.5000    51.3930      24.4601      -99999.0000  -99999.0000  33.4319      36.4080      4848.1860    110.5376     
3519.6250    51.3926      24.4541      -99999.0000  -99999.0000  33.4322      36.2431      5758.5049    110.1650     
3519.7500    51.3922      24.4291      -99999.0000  -99999.0000  36.8346      36.2369      5783.2583    109.8639     
3519.8750    51.3918      24.4040      -99999.0000  -99999.0000  34.4230      35.8626      5487.7471    109.9119     
3520.0000    51.3817      24.3599      -99999.0000  -99999.0000  35.8959      35.6215      5774.8867    110.1661     
3520.1250    51.3910      24.3476      -99999.0000  -99999.0000  35.0583      36.1104      5994.0830    110.6188     
3520.2500    51.3810      24.3479      -99999.0000  -99999.0000  36.5820      36.5676      6128.2344    111.1269     
3520.3750    51.4096      24.3293      -99999.0000  -99999.0000  36.3538      36.3519      4391.7798    111.7778     
3520.5000    51.5540      24.3043      -99999.0000  -99999.0000  36.0240      36.3266      2826.2996    112.4526     
3520.6250    51.7854      24.2792      -99999.0000  -99999.0000  33.8409      36.9107      1826.4656    113.0242     
3520.7500    52.0360      24.3112      -99999.0000  -99999.0000  35.8724      37.3806      1416.7297    113.5879     
3520.8750    52.0743      24.3052      -99999.0000  -99999.0000  38.2339      37.1522      1225.3239    114.1595     
3521.0000    51.8036      24.2992      -99999.0000  -99999.0000  39.5544      36.8858      1124.2476    114.6597     
3521.1250    51.1851      24.2805      -99999.0000  -99999.0000  37.5236      36.6638      1106.4395    114.8029     
3521.2500    50.7792      24.3126      -99999.0000  -99999.0000  33.9187      36.7083      1243.3960    114.6684     
3521.3750    50.5664      24.3447      -99999.0000  -99999.0000  34.2998      36.2896      1370.0381    114.3831     
3521.5000    50.4984      24.3895      -99999.0000  -99999.0000  32.0913      36.2262      1502.0188    114.1375     
3521.6250    50.5656      24.4406      -99999.0000  -99999.0000  31.8885      36.7722      1634.3167    113.9158     
3521.7500    50.6328      24.5108      -99999.0000  -99999.0000  32.7520      37.1024      1755.4132    113.7654     
3521.8750    50.4779      24.6063      -99999.0000  -99999.0000  30.7720      37.0962      1773.8347    113.6388     
3522.0000    50.3520      24.7082      -99999.0000  -99999.0000  30.1883      36.8933      1560.1357    113.5360     
3522.1250    50.3129      24.7911      -99999.0000  -99999.0000  33.1592      37.0711      1414.8708    113.4650     
3522.2500    50.3994      24.8295      -99999.0000  -99999.0000  35.7999      37.3569      1448.7856    113.4733     
3522.3750    50.5536      24.8362      -99999.0000  -99999.0000  35.6988      37.5475      1535.5164    113.5530     
3522.5000    50.7367      24.7985      -99999.0000  -99999.0000  34.9881      37.1414      1537.3792    113.6724     
3522.6250    50.7363      24.7671      -99999.0000  -99999.0000  32.5765      36.6782      1404.5818    113.9188     
3522.7500    50.6103      24.7420      -99999.0000  -99999.0000  33.7955      36.8180      1237.4142    114.3000     
3522.8750    50.4844      24.6980      -99999.0000  -99999.0000  35.5984      36.9514      1081.0173    114.6891     
3523.0000    50.6481      24.6856      -99999.0000  -99999.0000  37.4267      36.6405      944.4583     115.2131     
3523.1250    50.8409      24.6669      -99999.0000  -99999.0000  36.4623      36.8311      863.6144     115.7371     
3523.2500    51.0337      24.6419      -99999.0000  -99999.0000  34.4568      37.0724      847.9739     116.1976     
3523.3750    51.2264      24.6359      -99999.0000  -99999.0000  36.3106      37.0472      900.1365     116.6423     
3523.5000    51.3419      24.6362      -99999.0000  -99999.0000  35.0922      36.8379      918.4022     116.9680     
3523.6250    51.3609      24.5985      -99999.0000  -99999.0000  34.7624      36.5397      846.9346     117.1588     
3523.7500    51.2156      24.5861      -99999.0000  -99999.0000  33.1886      36.5462      789.4791     117.1512     
3523.8750    51.0510      24.5674      -99999.0000  -99999.0000  33.4682      36.4765      747.7833     116.9453     
3524.0000    50.8865      24.5614      -99999.0000  -99999.0000  35.2712      36.2608      776.9495     116.6204     
3524.1250    50.7026      24.5808      -99999.0000  -99999.0000  32.7326      36.2102      786.8018     116.2240     
3524.2500    50.5863      24.5495      -99999.0000  -99999.0000  31.4888      36.1913      830.3800     115.7881     
3524.3750    50.7404      24.5371      -99999.0000  -99999.0000  32.3523      35.9820      894.7614     115.3679     
3524.5000    50.9911      24.5184      -99999.0000  -99999.0000  34.5869      35.8742      913.7889     115.0271     
3524.6250    51.2322      24.4934      -99999.0000  -99999.0000  36.0598      35.7855      776.6666     114.6625     
3524.7500    51.2222      24.4493      -99999.0000  -99999.0000  35.0192      35.5635      651.6411     114.2821     
3524.8750    51.3087      24.4369      -99999.0000  -99999.0000  33.8008      35.3097      548.2280     113.9968     
3525.0000    51.5112      24.3993      -99999.0000  -99999.0000  32.2016      35.2781      557.2804     113.7194     
3525.1250    50.9699      24.4059      -99999.0000  -99999.0000  29.6376      35.0434      643.9539     113.5294     
3525.2500    50.8053      24.3746      -99999.0000  -99999.0000  26.4896      34.7579      788.5476     113.3949     
3525.3750    51.0174      24.3813      -99999.0000  -99999.0000  23.6971      34.9041      1234.6177    113.3636     
3525.5000    51.0943      24.3689      -99999.0000  -99999.0000  26.8711      35.0375      1868.3215    113.3877     
3525.6250    50.7268      24.3629      -99999.0000  -99999.0000  29.7150      34.9107      3391.0071    113.4674     
3525.7500    50.4077      24.3632      -99999.0000  -99999.0000  31.7972      34.6570      3646.7803    113.5154     
3525.8750    50.0595      24.3635      -99999.0000  -99999.0000  33.8795      34.6381      3127.4829    113.5475     
3526.0000    49.7790      24.3639      -99999.0000  -99999.0000  35.8602      34.8921      2912.1001    113.2464     
3526.1250    49.7303      24.3643      -99999.0000  -99999.0000  32.1282      35.1906      3149.0264    113.0722     
3526.2500    49.7975      24.4027      -99999.0000  -99999.0000  28.9549      35.2415      3424.9663    112.8345     
3526.3750    49.7971      24.4157      -99999.0000  -99999.0000  26.7209      35.0322      3618.6936    112.5016     
3526.5000    49.8160      24.4351      -99999.0000  -99999.0000  29.0063      35.2100      3632.1533    112.0339     
3526.6250    49.8639      24.4228      -99999.0000  -99999.0000  29.9968      35.0896      3535.0469    111.5503     
3526.7500    50.0857      24.3787      -99999.0000  -99999.0000  28.6007      35.2357      4102.2236    111.0270     
3526.8750    50.1530      24.3283      -99999.0000  -99999.0000  28.3978      34.9248      5138.9380    110.4641     
3527.0000    49.9594      24.2398      -99999.0000  -99999.0000  30.3785      34.5822      6772.4609    110.0598     
3527.1250    49.8720      24.1385      -99999.0000  -99999.0000  32.1815      34.6712      7309.3047    109.8063     
3527.2500    49.9875      24.0183      -99999.0000  -99999.0000  32.8419      35.2236      7915.5762    109.7511     
3527.3750    50.2286      23.9298      -99999.0000  -99999.0000  32.4614      35.6807      6767.3975    109.8466     
3527.5000    50.5374      23.9110      -99999.0000  -99999.0000  34.6706      36.1189      3035.9375    110.1644     
3527.6250    50.7109      23.9114      -99999.0000  -99999.0000  36.8544      36.6141      1838.7197    110.5456     
3527.7500    50.2757      23.8927      -99999.0000  -99999.0000  38.0988      36.9253      1196.7777    111.1172     
3527.8750    50.0339      23.8296      -99999.0000  -99999.0000  35.9918      36.8683      945.7792     111.6333     
3528.0000    49.9272      23.6966      -99999.0000  -99999.0000  39.4197      36.4939      961.3729     112.1811     
3528.1250    50.0813      23.6208      -99999.0000  -99999.0000  39.5977      36.5385      961.3737     112.7766     
3528.2500    50.3515      23.6084      -99999.0000  -99999.0000  35.8404      36.5958      927.0401     113.1895     
3528.3750    50.6602      23.7231      -99999.0000  -99999.0000  35.2568      36.4182      874.5065     113.6342     
3528.5000    50.8820      23.9329      -99999.0000  -99999.0000  35.5364      36.2152      836.0993     113.9916     
3528.6250    51.0748      24.1807      -99999.0000  -99999.0000  37.3901      36.3994      822.8988     114.2855     
3528.7500    51.3353      24.4540      -99999.0000  -99999.0000  36.7811      36.4250      815.2495     114.2145     
3528.8750    51.7793      24.7146      -99999.0000  -99999.0000  32.8206      36.1649      802.0556     113.7626     
3529.0000    52.1558      24.9498      -99999.0000  -99999.0000  32.5163      36.3300      772.2964     113.3186     
3529.1250    52.1168      25.1977      -99999.0000  -99999.0000  34.1415      36.3619      739.7762     112.9540     
3529.2500    51.6043      25.1663      -99999.0000  -99999.0000  32.7454      35.1053      795.2180     112.6530     
3529.3750    51.1788      24.9826      -99999.0000  -99999.0000  32.6441      33.9819      929.6941     112.4867     
3529.5000    50.7629      24.6846      -99999.0000  -99999.0000  32.1875      33.1950      1154.4731    112.2649     
3529.6250    51.0138      24.4120      -99999.0000  -99999.0000  28.9125      33.9505      1862.2112    112.0352     
3529.7500    51.0231      24.3299      -99999.0000  -99999.0000  28.1257      34.6298      6626.7378    111.8848     
3529.8750    50.5298      24.3048      -99999.0000  -99999.0000  28.8623      35.2710      7100.1216    111.7582     
3530.0000    50.2203      24.1655      -99999.0000  -99999.0000  27.8470      35.7536      6916.9443    111.6554     
3530.1250    50.4518      23.8549      -99999.0000  -99999.0000  27.6188      35.3729      7328.4951    111.6320     
3530.2500    50.9635      23.5759      -99999.0000  -99999.0000  29.6757      35.9951      7263.7656    111.8942     
3530.3750    51.4849      23.5889      -99999.0000  -99999.0000  33.3829      36.6744      2702.6230    112.6007     
3530.5000    52.1319      23.8051      -99999.0000  -99999.0000  36.4808      37.1760      1329.8417    113.4738     
3530.6250    52.1509      24.0213      -99999.0000  -99999.0000  39.0201      37.3031      863.4824     114.4105     
3530.7500    52.0249      24.1105      -99999.0000  -99999.0000  41.0516      36.9731      627.4090     115.1725     
3530.8750    52.1308      24.1235      -99999.0000  -99999.0000  39.3508      36.8209      512.0845     115.7521     
3531.0000    52.5749      24.0858      -99999.0000  -99999.0000  36.5328      36.4974      467.2559     116.2205     
3531.1250    52.7195      24.0163      -99999.0000  -99999.0000  40.1893      36.2690      441.1374     116.4272     
3531.2500    52.3519      23.8643      -99999.0000  -99999.0000  42.9318      36.2565      423.3810     116.3403     
3531.3750    52.0326      23.8012      -99999.0000  -99999.0000  39.2251      35.9138      440.1560     116.1344     
3531.5000    51.8680      23.8142      -99999.0000  -99999.0000  37.6512      35.6220      551.0703     115.8650     
3531.6250    51.9449      23.8400      -99999.0000  -99999.0000  40.3683      35.5650      671.0601     115.5798     
3531.7500    52.2731      23.8657      -99999.0000  -99999.0000  41.7143      35.3938      810.9409     115.3183     
3531.8750    52.3306      23.8916      -99999.0000  -99999.0000  38.1854      35.6732      969.6415     115.0410     
3532.0000    52.2723      23.8982      -99999.0000  -99999.0000  39.6583      36.0986      1142.4688    114.8509     
3532.1250    52.4362      23.8985      -99999.0000  -99999.0000  39.5570      35.9782      871.6904     114.7164     
3532.2500    53.0060      23.9179      -99999.0000  -99999.0000  38.9480      35.5784      647.0376     114.6850     
