WELLNAME = well99
STDEP  =  3500.0000    
ENDEP  =  4670.4375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, R1, RT, RXO, SONPHI, SP, VSH1

#DEPTH       AC           CAL          GR           R1           RT           RXO          SONPHI       SP           VSH1         
3514.2500    47.4343      23.8907      17.7098      16.9729      6066.9102    413.2048     0.0000       200.0688     0.0000       
3514.3750    47.3562      23.8906      16.6134      17.3712      6089.8550    410.2319     0.0000       200.0059     0.0000       
3514.5000    47.1273      23.9900      15.5172      17.7695      6112.7954    408.7711     0.0000       199.9432     0.0000       
3514.6250    46.5963      23.9899      16.2142      17.8689      6135.8228    405.8302     0.0000       199.8804     0.0000       
3514.7500    46.5181      24.1889      16.5129      16.9720      6181.6758    399.9568     0.0000       199.8177     0.0000       
3514.8750    46.8180      24.2884      16.1140      16.5733      6227.7759    394.1685     0.0000       199.7549     0.0000       
3515.0000    47.1931      24.3877      15.1174      17.0712      6461.1685    385.6231     0.0000       199.6920     0.0000       
3515.1250    47.3423      24.4871      13.8218      17.3699      6903.1445    375.8810     0.0000       199.6294     0.0000       
3515.2500    47.4152      24.5865      14.6186      16.9712      6630.5952    380.0881     0.0000       199.5667     0.0000       
3515.3750    47.2618      24.5864      15.6145      16.2736      6161.8818    390.0196     0.0000       199.5038     0.0000       
3515.5000    47.1840      24.6858      15.9131      16.5722      5940.3696    400.2103     0.0000       199.4409     0.0000       
3515.6250    47.1062      24.6857      14.7171      16.5720      5480.1646    401.7368     0.0000       199.3782     0.0000       
3515.7500    47.1036      24.6854      15.4143      15.9740      4767.2217    393.0207     0.0000       199.3778     0.0000       
3515.8750    47.3279      24.6853      14.9157      15.7746      2356.5803    378.8973     0.0000       199.3773     0.0000       
3516.0000    47.8545      24.6849      14.0188      16.1230      1522.8387    348.2691     0.0000       199.3767     0.0000       
3516.1250    47.9277      24.6847      13.4206      15.8240      1032.1610    327.2384     0.0000       199.3761     0.0000       
3516.2500    47.8496      24.6844      13.8188      14.9270      852.9240     324.8790     0.0000       199.3757     0.0000       
3516.3750    47.8473      24.6844      14.4162      15.4748      789.7372     322.5366     0.0000       199.3752     0.0000       
3516.5000    48.4494      24.6840      15.1133      15.8233      717.9373     317.8750     0.0000       199.4368     0.0000       
3516.6250    49.9575      24.6840      15.7108      15.7235      604.2549     294.3276     0.0000       199.5610     0.0000       
3516.7500    49.9552      24.5841      16.3084      16.2214      445.6329     263.6708     0.0000       199.6851     0.0000       
