WELLNAME = well116
STDEP  =  3500.0000    
ENDEP  =  5129.9375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CGR, CNL, DEN, GR, K, PE, P_AC, R1, RT, RXO, SGR, SONPHI, SP, TH, U, VSH, VSH1

#DEPTH       AC           CAL          CGR          CNL          DEN          GR           K            PE           P_AC         R1           RT           RXO          SGR          SONPHI       SP           TH           U            VSH          VSH1         
3507.1250    51.2962      23.1436      -99999.0000  -99999.0000  -99999.0000  34.2133      -99999.0000  -99999.0000  52.9521      36.2859      2146.1621    4134.2080    -99999.0000  0.0000       112.6671     -99999.0000  -99999.0000  0.0000       0.0000       
3507.2500    51.4888      23.1630      -99999.0000  -99999.0000  -99999.0000  36.4478      -99999.0000  -99999.0000  53.3747      36.1210      2246.7124    4347.8203    -99999.0000  0.0000       112.4454     -99999.0000  -99999.0000  0.0000       0.0000       
3507.3750    51.6235      23.1697      -99999.0000  -99999.0000  -99999.0000  37.9459      -99999.0000  -99999.0000  53.6702      36.5020      2288.9980    4536.5811    -99999.0000  0.0000       112.4616     -99999.0000  -99999.0000  0.0000       0.0000       
3507.5000    51.7099      23.1891      -99999.0000  -99999.0000  -99999.0000  34.1889      -99999.0000  -99999.0000  53.8598      36.5339      2138.2498    4722.6982    -99999.0000  0.0000       112.7714     -99999.0000  -99999.0000  0.0000       0.0000       
3507.6250    51.7674      23.1958      -99999.0000  -99999.0000  -99999.0000  30.7618      -99999.0000  -99999.0000  53.9858      36.5467      2010.4634    4942.0879    -99999.0000  0.0000       113.3906     -99999.0000  -99999.0000  0.0000       0.0000       
3507.7500    51.7960      23.2342      -99999.0000  -99999.0000  -99999.0000  30.4321      -99999.0000  -99999.0000  54.0486      36.6801      2201.4136    4901.6963    -99999.0000  0.0000       114.1367     -99999.0000  -99999.0000  0.0000       0.0000       
3507.8750    51.8052      23.2473      -99999.0000  -99999.0000  -99999.0000  28.7314      -99999.0000  -99999.0000  54.0689      36.5914      2366.1909    4534.4258    -99999.0000  0.0000       114.8035     -99999.0000  -99999.0000  0.0000       0.0000       
3508.0000    51.7952      23.2667      -99999.0000  -99999.0000  -99999.0000  30.6105      -99999.0000  -99999.0000  54.0469      36.3186      2503.1504    4858.6201    -99999.0000  0.0000       115.6290     -99999.0000  -99999.0000  0.0000       0.0000       
3508.1250    51.7369      23.2924      -99999.0000  -99999.0000  -99999.0000  30.1538      -99999.0000  -99999.0000  53.9190      35.9380      3245.7373    5419.9219    -99999.0000  0.0000       116.4703     -99999.0000  -99999.0000  0.0000       0.0000       
3508.2500    51.6400      23.2991      -99999.0000  -99999.0000  -99999.0000  32.5152      -99999.0000  -99999.0000  53.7064      36.0587      4369.3857    6118.1948    -99999.0000  0.0000       117.3196     -99999.0000  -99999.0000  0.0000       0.0000       
3508.3750    51.5625      23.2994      -99999.0000  -99999.0000  -99999.0000  34.5719      -99999.0000  -99999.0000  53.5364      36.5095      4419.4033    7212.6626    -99999.0000  0.0000       118.0340     -99999.0000  -99999.0000  0.0000       0.0000       
