WELLNAME = well60
STDEP  =  3675.0000    
ENDEP  =  4820.0000    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, P_AC, R1, RT, RXO, SONPHI, SP, VSH, VSH1

#DEPTH       AC           CAL          GR           P_AC         R1           RT           RXO          SONPHI       SP           VSH          VSH1         
3687.8750    51.3154      24.9675      31.8045      52.6357      19.7315      -99999.0000  -99999.0000  0.0497       148.8528     0.1557       15.5746      
3688.0000    50.9494      25.0066      30.9171      52.3366      19.7194      -99999.0000  -99999.0000  0.0464       147.9971     0.1494       14.9408      
3688.1250    50.6222      25.0328      31.9080      52.0691      19.7580      -99999.0000  -99999.0000  0.0435       147.2048     0.1565       15.6486      
3688.2500    50.4497      25.0591      33.5600      51.9282      19.7838      -99999.0000  -99999.0000  0.0420       146.5711     0.1683       16.8286      
3688.3750    50.6259      25.0981      33.1797      52.0722      19.8606      -99999.0000  -99999.0000  0.0436       146.0962     0.1656       16.5569      
3688.5000    51.1117      25.1244      33.2821      52.4692      19.9245      -99999.0000  -99999.0000  0.0479       146.0024     0.1663       16.6301      
3688.6250    51.0945      25.1255      34.3750      52.4551      20.0646      -99999.0000  -99999.0000  0.0477       146.2737     0.1741       17.4107      
3688.7500    50.9799      25.1390      34.0713      52.3615      20.1921      -99999.0000  -99999.0000  0.0467       146.5923     0.1719       17.1938      
3688.8750    51.9887      25.1526      31.8631      53.1859      20.3324      -99999.0000  -99999.0000  0.0556       146.8633     0.1562       15.6165      
3689.0000    52.2616      25.1665      33.9972      53.4090      20.3709      -99999.0000  -99999.0000  0.0580       147.1183     0.1714       17.1409      
3689.1250    52.1085      25.1801      36.1312      53.2839      20.1048      -99999.0000  -99999.0000  0.0567       147.3734     0.1867       18.6652      
3689.2500    51.1811      25.1810      37.4527      52.5260      19.9783      -99999.0000  -99999.0000  0.0485       147.6764     0.1961       19.6091      
3689.3750    50.2342      25.1948      35.9806      51.7521      19.9662      -99999.0000  -99999.0000  0.0400       148.0111     0.1856       18.5576      
3689.5000    49.4037      25.2084      33.6454      51.0734      20.0429      -99999.0000  -99999.0000  0.0324       148.2824     0.1689       16.8896      
3689.6250    49.5410      25.2219      31.4881      51.1856      20.2085      -99999.0000  -99999.0000  0.0337       148.4899     0.1535       15.3486      
3689.7500    50.4142      25.2360      29.6606      51.8991      20.3741      -99999.0000  -99999.0000  0.0416       148.6814     0.1404       14.0433      
3689.8750    50.4160      25.2369      28.5696      51.9007      20.5141      -99999.0000  -99999.0000  0.0417       148.8412     0.1326       13.2640      
3690.0000    50.8632      25.2503      29.4594      52.2661      20.7052      -99999.0000  -99999.0000  0.0457       149.0170     0.1390       13.8996      
3690.1250    51.2716      25.2768      29.0542      52.5999      20.8453      -99999.0000  -99999.0000  0.0493       149.2248     0.1361       13.6101      
3690.2500    51.4865      25.3159      28.7504      52.7755      21.0363      -99999.0000  -99999.0000  0.0512       148.9721     0.1339       13.3931      
3690.3750    51.2561      25.3424      29.5892      52.5872      21.1764      -99999.0000  -99999.0000  0.0492       148.1161     0.1399       13.9923      
3690.5000    50.9095      25.3559      30.6063      52.3040      21.3166      -99999.0000  -99999.0000  0.0461       147.2127     0.1472       14.7188      
3690.6250    50.5628      25.3693      31.2674      52.0206      21.4186      -99999.0000  -99999.0000  0.0430       146.4364     0.1519       15.1910      
3690.7500    50.1195      25.3960      31.7760      51.6583      21.5081      -99999.0000  -99999.0000  0.0390       145.7712     0.1555       15.5543      
3690.8750    49.7728      25.4222      30.3804      51.3750      21.6102      -99999.0000  -99999.0000  0.0358       145.3279     0.1456       14.5574      
3691.0000    50.1231      25.4353      30.8385      51.6613      21.7249      -99999.0000  -99999.0000  0.0390       145.1705     0.1488       14.8846      
3691.1250    50.1253      25.4873      32.1344      51.6631      21.8651      -99999.0000  -99999.0000  0.0390       145.3146     0.1581       15.8103      
3691.2500    49.9527      25.5396      34.9545      51.5220      22.0053      -99999.0000  -99999.0000  0.0375       145.6809     0.1782       17.8247      
3691.3750    49.6643      25.5531      36.0216      51.2864      22.1200      -99999.0000  -99999.0000  0.0348       146.0949     0.1859       18.5869      
3691.5000    49.4144      25.5535      37.4446      51.0821      22.2857      -99999.0000  -99999.0000  0.0325       146.4294     0.1960       19.6033      
3691.6250    50.2875      25.5927      34.2461      51.7956      22.4131      -99999.0000  -99999.0000  0.0405       146.5416     0.1732       17.3186      
3691.7500    51.1800      25.6446      33.5614      52.5250      22.5406      -99999.0000  -99999.0000  0.0485       146.1143     0.1683       16.8295      
3691.8750    51.8012      25.6836      35.5176      53.0327      22.6427      -99999.0000  -99999.0000  0.0540       145.4015     0.1823       18.2269      
3692.0000    52.0161      25.7100      37.4993      53.2083      22.7447      -99999.0000  -99999.0000  0.0559       144.8315     0.1964       19.6423      
3692.1250    51.8630      25.7106      36.2563      53.0832      22.9105      -99999.0000  -99999.0000  0.0545       144.3724     0.1875       18.7545      
3692.2500    51.6519      25.7115      36.4854      52.9107      22.9743      -99999.0000  -99999.0000  0.0527       143.9452     0.1892       18.9181      
3692.3750    52.1380      25.7124      36.6895      53.3079      23.0637      -99999.0000  -99999.0000  0.0569       143.5973     0.1906       19.0640      
3692.5000    52.4688      25.7133      33.8465      53.5783      22.8864      -99999.0000  -99999.0000  0.0598       143.3288     0.1703       17.0332      
3692.6250    52.8191      25.6890      35.0158      53.8646      22.6076      -99999.0000  -99999.0000  0.0628       143.1555     0.1787       17.8684      
3692.7500    52.7435      25.6646      36.4136      53.8028      22.4176      -99999.0000  -99999.0000  0.0622       143.0932     0.1887       18.8668      
3692.8750    52.9971      25.6526      37.0489      54.0100      22.2150      -99999.0000  -99999.0000  0.0644       143.0627     0.1932       19.3206      
3693.0000    53.3087      25.6283      37.9894      54.2647      21.9869      -99999.0000  -99999.0000  0.0670       142.7457     0.1999       19.9924      
3693.1250    53.4267      25.6165      39.0316      54.3612      21.7716      -99999.0000  -99999.0000  0.0680       142.4606     0.2074       20.7369      
3693.2500    53.2158      25.5921      39.6673      54.1888      21.5944      -99999.0000  -99999.0000  0.0662       142.4938     0.2119       21.1909      
3693.3750    52.9080      25.5677      39.4905      53.9373      21.4299      -99999.0000  -99999.0000  0.0636       142.5267     0.2106       21.0647      
3693.5000    52.6194      25.5560      35.9365      53.7014      21.2527      -99999.0000  -99999.0000  0.0611       142.5912     0.1853       18.5261      
3693.6250    52.2533      25.5315      35.6583      53.4022      21.0881      -99999.0000  -99999.0000  0.0579       142.6244     0.1833       18.3273      
3693.7500    51.7519      25.4944      36.4972      52.9924      20.9743      -99999.0000  -99999.0000  0.0535       142.6256     0.1893       18.9266      
3693.8750    51.5795      25.4575      37.1076      52.8515      20.9367      -99999.0000  -99999.0000  0.0520       142.6429     0.1936       19.3625      
3694.0000    52.6655      25.4078      36.9561      53.7390      20.9245      -99999.0000  -99999.0000  0.0615       142.6600     0.1925       19.2543      
3694.1250    53.2674      25.3579      35.3827      54.2309      20.8869      -99999.0000  -99999.0000  0.0667       142.6456     0.1813       18.1305      
3694.2500    53.2113      25.3330      35.1044      54.1851      20.8113      -99999.0000  -99999.0000  0.0662       142.6309     0.1793       17.9317      
