WELLNAME = well121
STDEP  =  3000.0000    
ENDEP  =  4019.9688    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNL, GR, P_AC, R1, RT, RXO, SONPHI, SP, VSH, VSH1

#DEPTH       AC           CAL          CNL          GR           P_AC         R1           RT           RXO          SONPHI       SP           VSH          VSH1         
3023.2500    50.6648      20.3724      -0.1777      36.0300      49.2327      26.8729      1087.6914    1116.0781    0.0000       0.0000       0.0000       0.0000       
3023.3750    50.9730      20.3912      -0.3977      35.1967      49.3113      27.0378      1316.7517    1340.9357    0.0000       0.0000       0.0000       0.0000       
3023.5000    50.5017      20.3973      -0.5464      34.7205      49.1911      27.2661      1496.8940    1473.9099    0.0000       0.0000       0.0000       0.0000       
3023.6250    50.1210      20.3972      -0.6535      33.6492      49.0940      27.4818      1582.4653    1582.6333    0.0000       0.0000       0.0000       0.0000       
3023.7500    50.6649      20.3969      -0.7129      33.2325      49.2327      27.6974      1682.4236    1732.3120    0.0000       0.0000       0.0000       0.0000       
3023.8750    50.7737      20.3777      -0.7486      32.3398      49.2605      28.0145      1868.9170    1648.0583    0.0000       0.0000       0.0000       0.0000       
3024.0000    50.3386      20.3712      -0.7723      31.0306      49.1495      28.1541      1662.1973    1311.2080    0.0000       0.0000       0.0000       0.0000       
3024.1250    49.9216      20.3329      -0.7664      30.3165      49.0432      28.3570      1115.5698    806.4739     0.0000       0.0000       0.0000       0.0000       
3024.2500    49.7041      20.3010      -0.7307      28.8884      48.9877      28.6868      664.4484     360.1219     0.0000       0.0000       0.0000       0.0000       
3024.3750    49.5953      20.2754      -0.6652      27.7578      48.9600      28.9152      299.7325     266.2753     0.0000       0.0000       0.0000       0.0000       
3024.5000    49.4866      20.2498      -0.5284      30.8503      48.9322      29.1055      210.9250     229.4518     0.0000       0.0000       0.0000       0.0000       
3024.6250    49.4684      20.2242      -0.3737      28.9463      48.9276      29.3465      199.4478     219.4005     0.0000       0.0000       0.0000       0.0000       
