WELLNAME = well84
STDEP  =  3500.0000    
ENDEP  =  4555.9242    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, R1, RT, RXO, SONPHI, SP, VSH1

#DEPTH       AC           CAL          GR           R1           RT           RXO          SONPHI       SP           VSH1         
3514.8750    50.5947      27.8041      17.1131      129.0298     262.9843     181.8979     0.0000       303.7577     0.0000       
3515.0000    50.6654      27.9019      17.6884      128.0197     243.2909     168.5658     0.0000       303.5239     0.0000       
3515.1250    50.8086      28.1907      17.9459      127.2632     233.5570     155.1063     0.0000       303.3289     0.0000       
3515.2500    51.0243      28.2253      19.1565      126.5067     216.7050     142.0770     0.0000       303.0545     0.0000       
3515.3750    51.1914      28.0690      19.4139      125.4967     181.8031     128.4636     0.0000       302.7811     0.0000       
3515.5000    51.0202      27.9128      20.1799      124.6138     178.5880     112.1082     0.0000       302.5071     0.0000       
3515.6250    50.8495      27.9157      19.3568      123.8580     187.8695     111.0799     0.0000       302.1929     0.0000       
3515.7500    50.7269      28.0140      19.9321      123.2286     205.4433     120.0458     0.0000       301.8789     0.0000       
3515.8750    50.7492      28.0799      20.1892      122.7271     246.1651     131.0802     0.0000       301.5258     0.0000       
3516.0000    50.9164      28.1464      20.3195      122.4798     241.8306     138.8287     0.0000       301.1724     0.0000       
3516.1250    51.0112      28.1489      19.8781      121.0884     209.2643     126.1671     0.0000       300.6610     0.0000       
3516.2500    50.9128      27.9929      18.9276      119.4421     187.3164     111.6977     0.0000       300.3470     0.0000       
3516.3750    50.7176      27.9319      19.3757      118.3050     213.0572     106.5538     0.0000       299.9933     0.0000       
3516.5000    50.6675      27.9029      18.8066      119.8375     239.9347     122.8741     0.0000       299.6391     0.0000       
3516.6250    50.8106      27.9056      17.8567      120.8614     226.5990     135.6699     0.0000       299.0485     0.0000       
3516.7500    51.2196      27.9082      18.9401      122.0125     165.4760     123.4181     0.0000       298.5357     0.0000       
3516.8750    51.7979      28.0381      20.4688      120.6205     137.8497     111.8433     0.0000       298.0630     0.0000       
3517.0000    52.6175      28.2316      22.5059      119.6105     111.4842     100.7872     0.0000       297.6696     0.0000       
3517.1250    53.4371      28.5201      23.9709      119.7446     96.6160      88.1370      0.0000       297.3160     0.0000       
3517.2500    53.8699      28.5548      23.4018      118.0991     99.5454      75.8024      0.0000       296.8049     0.0000       
3517.3750    53.4329      28.3350      23.2143      117.4698     123.1335     88.3442      0.0000       296.4506     0.0000       
3517.5000    53.0445      27.9883      21.8192      119.0022     146.5180     99.1674      0.0000       296.0970     0.0000       
3517.6250    52.8495      27.8640      21.8863      119.8990     151.7913     101.6225     0.0000       295.6647     0.0000       
3517.7500    52.7511      27.8983      23.0967      119.2704     164.8554     99.9771      0.0000       295.3508     0.0000       
3517.8750    52.8216      27.9649      24.4343      120.2943     167.1837     103.3304     0.0000       295.0769     0.0000       
3518.0000    52.7474      27.9994      24.5646      120.3006     151.8850     97.9353      0.0000       294.8031     0.0000       
3518.1250    52.5280      27.9703      24.9491      119.4185     144.5834     90.9647      0.0000       294.5690     0.0000       
3518.2500    52.1395      27.9094      25.9057      118.2808     167.4202     89.7003      0.0000       294.2557     0.0000       
3518.3750    51.7753      27.8800      27.1164      116.5089     176.9460     95.7808      0.0000       294.0208     0.0000       
3518.5000    51.6043      27.8828      24.9584      116.3881     155.8529     91.1900      0.0000       293.7471     0.0000       
3518.6250    51.6510      27.8855      25.8513      116.2673     152.6181     85.7003      0.0000       293.4727     0.0000       
3518.7500    52.3502      27.8885      25.9816      115.0032     143.7763     79.7022      0.0000       293.1196     0.0000       
3518.8750    52.9034      27.9548      24.7137      114.8831     145.5921     73.8546      0.0000       292.8063     0.0000       
3519.0000    52.3940      28.0525      24.4624      115.0165     181.5002     71.3016      0.0000       292.6508     0.0000       
3519.1250    51.8365      28.1825      25.8637      116.0404     226.6527     72.3290      0.0000       292.4170     0.0000       
3519.2500    51.3758      28.3124      23.0070      116.4288     363.8394     78.6275      0.0000       292.2621     0.0000       
3519.3750    50.9632      28.3471      20.5952      116.5629     427.1962     86.0757      0.0000       292.1077     0.0000       
3519.5000    50.6231      28.2857      19.5180      116.4428     415.3734     96.0302      0.0000       291.9526     0.0000       
3519.6250    50.5973      28.2885      19.0124      116.1949     428.8517     110.7537     0.0000       291.7980     0.0000       
3519.7500    50.7161      28.2914      18.5072      116.2019     445.4235     104.0058     0.0000       291.6035     0.0000       
