WELLNAME = well92
STDEP  =  3000.0000    
ENDEP  =  4553.7051    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CGR_DM, GR, K, MSFL, PE, R1, RT, RXO, SGR, SONPHI, SP, TH, U, VSH1

#DEPTH       AC           CAL          CGR_DM       GR           K            MSFL         PE           R1           RT           RXO          SGR          SONPHI       SP           TH           U            VSH1         
3009.8750    -99999.0000  24.3004      0.0000       25.5989      0.0000       0.0000       0.0000       12.1440      -99999.0000  -99999.0000  0.0000       0.0000       64.7806      0.0000       0.0000       0.0000       
3010.0000    -99999.0000  24.3377      0.0000       24.6354      0.0000       0.0000       0.0000       12.2513      -99999.0000  -99999.0000  0.0000       0.0000       64.7322      0.0000       0.0000       0.0000       
3010.1250    -99999.0000  24.3623      0.0000       23.4944      0.0000       0.0000       0.0000       11.9088      -99999.0000  -99999.0000  0.0000       0.0000       64.6761      0.0000       0.0000       0.0000       
3010.2500    -99999.0000  24.3743      0.0000       22.5561      0.0000       0.0000       0.0000       11.4587      -99999.0000  -99999.0000  0.0000       0.0000       64.6119      0.0000       0.0000       0.0000       
3010.3750    -99999.0000  24.3862      0.0000       21.6938      0.0000       0.0000       0.0000       11.0402      -99999.0000  -99999.0000  0.0000       0.0000       64.5239      0.0000       0.0000       0.0000       
3010.5000    -99999.0000  24.3982      0.0000       22.0731      0.0000       0.0000       0.0000       9.9376       -99999.0000  -99999.0000  0.0000       0.0000       64.4515      0.0000       0.0000       0.0000       
3010.6250    -99999.0000  24.3974      0.0000       22.6298      0.0000       0.0000       0.0000       9.4431       -99999.0000  -99999.0000  0.0000       0.0000       64.3631      0.0000       0.0000       0.0000       
3010.7500    -99999.0000  24.3967      0.0000       23.2119      0.0000       0.0000       0.0000       9.2210       -99999.0000  -99999.0000  0.0000       0.0000       64.3148      0.0000       0.0000       0.0000       
3010.8750    -99999.0000  24.3834      0.0000       23.8698      0.0000       0.0000       0.0000       9.1762       -99999.0000  -99999.0000  0.0000       0.0000       64.2585      0.0000       0.0000       0.0000       
3011.0000    -99999.0000  24.3699      0.0000       24.6039      0.0000       0.0000       0.0000       9.2013       -99999.0000  -99999.0000  0.0000       0.0000       64.1699      0.0000       0.0000       0.0000       
3011.1250    -99999.0000  24.3437      0.0000       25.2620      0.0000       0.0000       0.0000       9.2578       -99999.0000  -99999.0000  0.0000       0.0000       64.1454      0.0000       0.0000       0.0000       
